initials,age,binary sex (F/M),time,word,likert_competitiveness,likert_traits,affectedness
VMGL,24,F,1.8405292500101496,hund,3,3,2
VMGL,24,F,1.2160143330111168,katt,3,3,2
VMGL,24,F,2.477588375011692,kuhest,3,3,2
VMGL,24,F,3.3170192500110716,one,3,3,2
VMGL,24,F,3.3987657909747213,marsvin,3,3,2
VMGL,24,F,1.6564247079950292,hamster,3,3,2
VMGL,24,F,1.1438913750171196,ape,3,3,2
VMGL,24,F,1.4709759579855017,giraff,3,3,2
VMGL,24,F,1.844877625000663,elefant,3,3,2
VMGL,24,F,2.671430499991402,antilope,3,3,2
VMGL,24,F,3.0994038750068285,fisk,3,3,2
VMGL,24,F,0.9275235840177629,elg,3,3,2
VMGL,24,F,2.9168599160038866,reinsdyr,3,3,2
VMGL,24,F,7.482807916996535,rdyr,3,3,2
VMGL,24,F,2.054724540997995,hjort,3,3,2
VMGL,24,F,2.444075082981726,rev,3,3,2
VMGL,24,F,2.122000792005565,gjeit,3,3,2
VMGL,24,F,2.6827912500011735,mammut,3,3,2
VMGL,24,F,12.21130829199683,sebra,3,3,2
