initials,age,binary sex (F/M),time,word,competitiveness
FN,22,Male,1.7207579590030946,flue,4
FN,22,Male,1.2671384589921217,abe,4
FN,22,Male,1.5988576250092592,bavian,4
FN,22,Male,1.6552241669851355,larve,4
FN,22,Male,0.9113365419907495,bi,4
FN,22,Male,2.438238625007216,hveps,4
FN,22,Male,2.6159362499893177,ørn,4
FN,22,Male,2.938172124995617,alligator,4
FN,22,Male,3.4779227079998236,løve,4
FN,22,Male,0.8273298749991227,tiger,4
FN,22,Male,7.705415417003678,delfin,4
FN,22,Male,1.9996930830238853,pingvin,4
FN,22,Male,3.6660860830161255,elefant,4
