initials,age,binary sex (F/M),time,word,likert_competitiveness,likert_traits,affectedness
EJJ,22,F,11.991430250025587,elefant,4,3,3
EJJ,22,F,2.310825749998912,edderkop,4,3,3
EJJ,22,F,2.416401249996852,loeve,4,3,3
EJJ,22,F,5.500315249984851,kanariefugl,4,3,3
EJJ,22,F,2.248734583001351,mus,4,3,3
EJJ,22,F,1.1336795000243,rotte,4,3,3
EJJ,22,F,1.1829032080131583,hund,4,3,3
EJJ,22,F,1.087826375005534,kat,4,3,3
EJJ,22,F,2.2830682919884566,mge,4,3,3
EJJ,22,F,3.8832225000078324,giraf,4,3,3
EJJ,22,F,2.9498722499993164,kaenguru,4,3,3
EJJ,22,F,2.582814041990787,pelikan,4,3,3
EJJ,22,F,2.29937787502422,flodhest,4,3,3
EJJ,22,F,3.2833608750079293,kakadue,4,3,3
EJJ,22,F,2.627769790997263,allike,4,3,3
EJJ,22,F,1.2823990000179037,svane,4,3,3
EJJ,22,F,3.8835725839890074,oern,4,3,3
EJJ,22,F,5.599668667011429,panda,4,3,3
